,Prevalence
1189,18.31971830422646
898,16.62360968556279
351,14.60872849441154
1029,11.25158975740152
1071,11.32027708589342
1076,11.57022007932402
656,16.95384221530425
433,16.91298261782341
725,15.098320463022771
521,17.04689208034167
1075,11.56868587736598
15,19.32192865456372
3,18.70673446338289
991,10.60162367233335
432,16.977795604247937
743,10.95699059798658
766,13.176038566913078
1172,16.944959012779933
666,17.70177041090137
398,12.19832224836608
822,15.29637321302722
744,10.99219263307004
707,14.85439403064433
510,17.41331993792449
827,15.12797253333858
9,18.32781899397739
425,15.0897458327628
22,19.19034628205202
546,11.34404250677502
397,12.21549156593201
929,19.02648526172187
1171,16.8592907614034
1323,17.74449809916644
825,15.197373570512571
530,11.63605083566366
1113,12.05998697100162
811,13.24890355494
379,13.18967592819802
413,15.2858463799926
162,14.80822609187653
831,14.96363205398756
728,15.01275418311624
1016,18.348049669318
460,16.63718330754719
358,14.174585318706573
1201,15.425746644100547
717,14.682742254147229
1094,11.26418204674251
327,11.381499803851671
87,15.00137868542655
1309,15.13074861426654
850,11.34296931405807
453,16.76626045401662
80,15.01577647646108
864,12.24674621102767
362,14.10810918968427
447,17.15750149388133
1001,19.05811908031901
855,11.81952758630842
412,15.34172306980135
157,14.07141734643598
1194,15.41367338698024
261,12.54872765851418
269,12.6390743132967
1096,11.2376210186256
470,14.57353597162922
414,15.178661486090538
0,18.69276897210991
1330,17.35181157372901
925,19.01867367680151
1285,14.906695481866288
668,17.88389694781244
828,15.095534467076671
270,12.655934629254707
454,16.72828235609786
1030,11.24105942201489
260,12.54905845902048
404,15.775214310863287
1215,15.329760230226391
989,10.46187299309251
69,14.650776926382589
1183,18.60652873013576
450,16.923180413032902
504,17.52669038045088
954,15.921737444785489
288,13.005540891382438
1069,11.36239304352523
896,16.6496611461335
1218,15.31879823829502
1180,18.37506244575938
577,14.57946280504448
444,17.21666437806283
952,15.9118090547161
488,15.17141716699681
706,14.92088196072426
491,15.00078995899444
544,11.36294084621626
53,15.71268920369346
539,11.42179762403256
579,14.58182391676931
767,13.16355379924665
881,16.58353095452958
437,16.81187977073554
369,14.20964244862101
1339,16.93462088013887
1114,12.01875608722092
196,15.34714563671033
1305,15.28504829823836
71,14.68543563832968
1025,11.22561121272146
439,16.94647330275424
868,12.22172548908353
169,14.95356296501985
726,15.12036922297428
778,12.65927874712853
935,16.11138634720653
1208,15.41348839572203
1200,15.42214016118882
343,11.14384072981683
353,14.45593317342009
485,15.21521164312244
531,11.59679859099204
1297,14.76274267149452
323,11.49874637496843
268,12.61543547504358
1042,11.15419222959576
57,15.78937209057142
543,11.37336301277071
1237,16.70010317259012
286,12.998771171243858
757,10.63112079100462
677,14.93336538472293
1276,14.53286965630531
506,17.35410096371301
19,19.30817917947452
1213,15.34793207553117
1046,11.10257338806637
1087,11.402074842770531
685,14.378865654389749
1228,17.28713388796621
45,15.67152569682877
349,14.70331868878992
421,15.24527141793604
1110,12.159453136932967
930,19.03152525765636
1013,18.80015527007754
1169,16.86837441167062
328,11.36467261204392
468,14.52514839265876
837,14.92727743524605
