value
83.2
78.41
85.86
85.51
82.35
83.85
83.21
78.5
84.17
83.2
83.51
84.8
83.81
79.86
86.79
80.7
86.99
84.6
83.5
84.12
84.85
86.25
81.39
84.44
85.31
81.46
88.0
83.26
87.71
92.23
75.41
78.56
75.8
85.3
79.25
78.17
87.09
78.06
81.03
88.43
87.28
83.35
88.79
82.05
84.67
90.67
83.83
84.52
91.37
81.16
88.27
87.79
88.81
86.4
91.69
82.56
88.9
91.54
82.69
90.14
89.46
81.63
90.44
87.61
85.61
88.8
90.74
82.65
88.52
89.68
85.7
89.94
87.07
86.09
91.6
88.79
89.01
88.81
87.1
87.98
88.9
87.63
88.45
88.99
89.04
81.54
93.96
83.5
92.06
89.14
87.46
87.54
86.63
89.73
87.99
86.3
91.42
80.88
88.18
88.77
90.79
87.09
88.52
87.11
83.68
92.36
87.11
85.6
90.61
80.73
87.46
88.3
90.19
83.05
92.01
85.91
85.67
92.08
85.17
87.21
90.91
83.33
97.59
93.67
85.81
90.33
93.5
87.84
91.01
93.37
88.97
95.1
91.03
86.92
99.88
92.37
92.73
93.47
94.39
91.77
93.32
93.1
94.75
95.93
